Event Date,Case Status,Inspection Number,Establishment Name,Report ID,Street Address,City,State,ZIP Code,Union Status,Abstract,Summary,NAICS,Age,Sex,Degree of Injury,Occupation,Coordinates
08/25/2023,OPEN,1694606.015,Arceny Santizo,454722,1400 Dudley Road,Clarksville,TN,37043,NonUnion,Employee dies of heat stroke,"At 12:00 p.m. on August 25, 2023, an employee was performing a roofing job with a team of four other roofers. The employee worked on the ground, picking up trash and providing roofers on the roof with equipment as needed. While working on the ground, the employee began to shake and possibly lost consciousness. Coworkers moved the employee to the shade, and when symptoms did not abate, his crew leader took him to the hospital where he was admitted for a heat stroke. The employee died of a heat stroke.",238160/Roofing Contractors,22,M,Fatality,,"(36.517137056698566, -87.26570407523923)"
08/25/2023,CLOSED,1693972.015,Platinum Service Pros,551800,350 Missouri Ave,Jeffersonville,IN,47130,NonUnion,"Employee dies due to unknown reasons, possibly heat-related","At 6:00 p.m. on August 25, 2023, Employee #1 was assisting with HVAC and plumbing repairs on a commercial property that runs parallel to the employer's main office. Employee #1 was assisting with material handling from the ground level to the second-floor suite that was having the air conditioning repaired. The employer asked Employee #1 to run down to the HVAC unit located on the ground floor and install the insulation sleeves around the copper components. The employer ran downstairs to check on Employee #1 and discovered that he was laying on the ground, and civilians from a nearby condominium were administering CPR on the employee.  They thought he had tripped, but when they watched him attempt to stand himself back up, and then collapse again, they called 911 and immediately ran to his aid across the lawn. When they reached him, they told the employer that he had begun turning blue and was unresponsive, so they began administering CPR until EMS arrived and took over. Employee #1 died due to unknown reasons, although heat may have played a role.","238220/ Plumbing, Heating, and Air-Conditioning Contractors",36,M,Fatality,"Plumbers, pipefitters and steamfitters","(38.32699975706503, -85.70077790847803)"
08/23/2023,CLOSED,1694715.015,United Parcel Service Inc,626300,3000 Redbud Blvd,Mckinney,TX,75069,Union,Employee dies from heat stress,"At 3:00 p.m. on August 23, 2023, an employee was delivering parcels and became ill. The employee went to the hospital and died from heat stress.",492110/Couriers,57,M,Fatality,"Truck drivers, light","(33.18185907407407, -96.62931223234568)"
08/22/2023,CLOSED,1692722.015,Edyy'S Painting Llc,418100,834 Brookfield Dr Lot 64,Braselton,GA,30517,NonUnion,Employee is killed due to heat stroke and fall from elevatio,"At 3:30 p.m. on August 22, 2023, an employee was painting.  The employee fell from a ladder to the concrete floor below due to heat stress.  The employee was killed due to head trauma and heat stroke.",238320/Painting and Wall Covering Contractors,24,M,Fatality,"Painters, construction and maintenance","(34.121631998255815, -83.78607180930233)"
08/22/2023,CLOSED,1695215.015,Bluebonnet Water Supply Corporation,636900,500 8th Street,Moody,TX,76557,NonUnion,Employee dies due to heat stroke,"At 1:00 p.m. on August 22, 2023, an employee was working with a crew that was assigned to repair a water leak. The employee suffered a heat-related illness. The employee was killed due to heat stroke.",221310/Water Supply and Irrigation Systems,36,M,Fatality,Water and sewage treatment plant operators,"(31.286328915833337, -97.380557135)"
08/22/2023,CLOSED,1694385.015,Derrick Brannan,524500,409 W South St,Pontiac,IL,61764,NonUnion,Employee dies of heat-related illness,"At 4:03 p.m. on August 22, 2023, Employee #1, a 36-year-old male roofer, was engaged in heavy workload roofing activities under high heat index conditions. Employee #1 returned to the roof after taking a break and was having trouble attaching to the fall protection system. Employee #1 became confused, failed to respond to instructions, and eventually collapsed on the roof, becoming unresponsive. Emergency personnel were summoned to assist Employee #1 and to retrieve him from the roof. Employee #1 died due to a heat-related illness diagnosed with hyperthermia.",238160/Roofing Contractors,36,M,Fatality,,"(40.87684716271552, -88.63189603685345)"
08/21/2023,CLOSED,1693210.015,"318 Land Services, Llc",625700,Tigner Farms Road,Haynesville,LA,71038,NonUnion,Employee is killed due to heat exhaustion,"At 2:02 p.m. on August 21, 2023, an employee was inspecting a Tigercat M726E mulcher.  The employee was exposed to high heat temperatures and was killed due to heat exhaustion.",238910/Site Preparation Contractors,69,M,Fatality,,"(32.94987833424658, -93.10196524315069)"
08/21/2023,CLOSED,1692708.015,Trismart Solar,625500,104 Flintstone  St.,San Antonio,TX,78213,NonUnion,Employee dies due to heat-related illness,"At 2:00 p.m. on August 21, 2023, an employee was installing residential solar roof panels on a home. The employee felt symptoms of heat stress and went to the company van to cool down and rest in AC. The employee's body over-heated, and he died due to heat-related illness.",221114,39,M,Fatality,Electrical power installers and repairers,"(29.51393941308244, -98.52000608028675)"
08/12/2023,OPEN,1690736.015,"Hvx Equipment, Llc",216000,1 Lindbergh Rd,Stony Point,NY,10980,NonUnion,Employee suffers heat injury and dies on construction site,"At 3:30 p.m. on August 12, 2023, an employee was using a hammer to tap corrugated hosing to unclog it at a power plant construction site when he began showing signs of a heat-related illness. The employee was transported to nearby hospital, where he died due to hyperthermia. The employee was known to have pre-existing cardiovascular disease.",238910/Site Preparation Contractors,63,M,Fatality,Construction Laborer,"(41.22974293590811, -73.99943097168958)"
08/11/2023,OPEN,1694845.015,City Of Chicago - Fire Dept. - Battalion 11,551701,8336 W Balmoral Avenue,Chicago,IL,60656,Union,One employee dies and three incur heat exhaustion,"At 3:32 p.m. on August 11, 2023, Employees #1, #2, #3, and #4  were dispatched with other coworkers a report of smoke in a single-story residence. A hose line was pulled to perform fire suppression and Employees #1, #2, #3, and #4  split up to search the structure. Employee #1 entered the basement alone and later radioed requesting to ""take the windows out of the basement."" Coworker #1 removed the windows using a Halligan tool and noted a large volume of smoke coming from the rear windows. Coworker #2 performed an exterior walk of the house and noticed a helmet and SCBA on the ground near a window and heard yelling from the window.  At this time, Employee #2 was rescued from the building and later Employee #1 was rescued from the basement.  Employees #1, #2, #2, and #4 were transported to the hospital for treatment for heat exhaustion. Employee #1 died at the hospital due to complications of an inhalation injury.",922160/Fire Protection,62,M,Non Hospitalized injury,Fire Fighter,"(41.971447938286936, -87.8326178808137)"
08/08/2023,CLOSED,1690300.015,"Ourso Farms, Inc.",625700,56946 Ourso Road,White Castle,LA,70788,NonUnion,Employee dies from heat overexposure planting sugarcane,"At 9:00 a.m. on August 8, 2023, an employee was walking behind a cart pulled by a tractor laying out sugar cane on the ground for planting in rows in an open field. The employee reported he was not feeling well and shortly thereafter passed out. The employee died due to hyperthermia.",111930/Sugarcane Farming,27,M,Fatality,Farm workers,"(30.161277074157304, -91.15859512134831)"
07/28/2023,OPEN,1687394.015,Queen Of America Inc.,215000,372 Ten Eyck Street,Brooklyn,NY,11206,NonUnion,Employee is killed due to heat and carbon monoxide exposure,"At 1:45 p.m. on July 28, 2023, an employee had just taken a break to drink water and use the bathroom. Prior to this, the employee had been removing boxes from the rear of a truck at the loading area of the warehouse. The employee suffered heat-related and carbon monoxide-related exposure, which led to multiple organ failure. The employee was killed.",493190/Other Warehousing and Storage,24,M,Fatality,,"(40.70159546981198, -73.94305008722144)"
07/28/2023,CLOSED,1687274.015,"Sj&L General Contractor, Llc",418300,8605 Boulder Brook Road,Madison,AL,35756,NonUnion,Employee dies of heat-related illness,"On July 26, 2023, an employee was hired and completed orientation.  At 6:30 a.m. on July 28, 2023, the employee arrived onsite to begin work as a concrete finisher. The employee was tasked with setting concrete forms, while awaiting the arrival of concrete trucks.  During this time, the employee was observed stumbling and was directed by the foreman to sit in his personal vehicle to cool off.  The concrete trucks arrived at noon, and the employee was tasked with finishing the concrete by smoothing out curbing with a finishing trowel.  At 2:00 p.m., the lead man observed the employee staggering while walking to his vehicle. The lead man assisted the employee to his vehicle and applied ice to him.  The lead man contacted emergency services.  The employee was unconscious but breathing upon the ambulance's departure from the site.  The employee died while enroute to the hospital.",238990/All Other Specialty Trade Contractors,33,M,Fatality,Concrete and terrazzo finishers,"(34.70063672395665, -86.81331625540696)"
07/28/2023,CLOSED,1687366.015,"Oki Furniture Fair, Inc.",522000,7200 Dixie Hwy,Fairfield,OH,45014,NonUnion,Employee is exposed to heat and suffers cardiac arrest,"At 8:00 a.m. on July 28, 2023, Employee #1 was loading furniture by hand for an assigned route. Employee #1 felt ill after loading 4 or 5 pieces of furniture onto the delivery truck for 30 minutes. Employee #1 told coworkers he was having difficulty breathing. Employee #1 died during emergency transport to the local hospital. Employee #1 died due to the heat conditions.",442110/Furniture Stores,33,M,Fatality,"Freight, stock and material handlers, n.e.c.","(39.33123288892733, -84.5467238600346)"
07/22/2023,CLOSED,1689939.015,"Blakeman Steel, Inc.",636900,2156 Keller Hicks Road,Fort Worth,TX,76244,NonUnion,Employee dies due to heat-related illness,"At 8:00 a.m. on July 22, 2023, an employee was walking past the last tilt wall panel.  He started vomiting and leaning up against the wall.  He motioned the crew to help him sit down and he blacked out. The employee died due to a heat-related incident.",238120/Structural Steel and Precast Concrete Contractors,43,M,Fatality,,"(32.931657868367346, -97.28767545)"
07/19/2023,OPEN,1694420.015,155012 - Catalina Galaviz,453710,3741 Bladenboro Rd,Butters,NC,28320,NonUnion,Employee dies from heat illness in tobacco field,"At 12:00 noon on July 19, 2023, an employee, a farm laborer, was working in a tobacco field suckering tobacco when he became ill and suffered a heatstroke. The employee was transported to the hospital and died later that day.",115115/Farm Labor Contractors and Crew Leaders,27,M,Fatality,Occupation not reported,"(34.558197947791164, -78.78488887911647)"
07/13/2023,CLOSED,1683139.015,Southern Hills Country Club,627700,2636 East 61st Street,Tulsa,OK,74136,NonUnion,Employee dies from possible heat stress valet parking cars,"At 7:30 p.m. on July 13, 2023, an employee was valet parking cars at a country club. After parking two to three cars in approximately 30 minutes time, the employee returned to the reception area in obvious distress. The employee died from possible heat-related illness.",713910/Golf Courses and Country Clubs,61,M,Fatality,,"(36.06218676304619, -95.94128548726592)"
07/06/2023,OPEN,1682153.015,"Michaels Stores Procurement Company, Inc.",213900,130 Makers Avenue,Berlin,NJ,8009,NonUnion,Employee dies in car from heat related illness,"At 9:00 a.m. on July 6, 2023, an employee working as a stock handler clocked out after driving a forklift. At 1:45 p.m., the employee was found dead in his car of heat illness.",493110/General Warehousing and Storage,42,M,Fatality,"Freight, stock and material handlers, n.e.c.","(39.773064907988164, -74.9415572760355)"
06/28/2023,CLOSED,1679816.015,Revels Block & Brick,626700,12225 Hodges Street,Houston,TX,77085,NonUnion,"Employee dies of heart attack, which may have been heat-rela","At 3:15 a.m. on June 28, 2023, an employee was sweeping the floor. The employee had a heart attack, which may have been heat-related.",238140/Masonry Contractors,59,M,Fatality,Compressing and compacting machine operators,"(29.65743409131514, -95.50210663920596)"
06/26/2023,CLOSED,1680016.015,Leggett Roofing Llc,420600,7146 Kenwood Dr.,North Port,FL,34287,NonUnion,Employee dies of possible heat-related illness,"At 2:30 p.m. on June 26, 2023, an employee was doing gutter work and was not feeling well. The employee took a break in a vehicle. The employee was found unresponsive in the vehicle and was driven to the nearest fire station. The employee died of a possible heat-related illness.",238160/Roofing Contractors,27,M,Fatality,,"(27.050609627035332, -82.2355159625192)"
06/24/2023,CLOSED,1679528.015,Soi Group Inc.,626300,573 Granada Lake Drive,Princeton,TX,75407,NonUnion,Employee dies from medical issues aggravated by heat index,"At 3:00 p.m. on June 24, 2023, an employee working as construction laborer for a water supply and irrigation system contractor was fixing a broken sprinkler line. The employee reported feeling ill the previous day. The employee started foaming at the mouth. After working a couple of hours, he became unresponsive. The employee was transported to the hospital, where he died shortly after arrival. The medical examiner reported elevated sugar levels and reported the cause as natural. The employee had underlying medical issues aggravated by environmental heat.",221310/Water Supply and Irrigation Systems,67,M,Fatality,Construction laborers,"(33.142517150731706, -96.49331417512195)"
06/20/2023,OPEN,1678142.015,United States Postal Service,626300,4720 Ridgelawn Drive,Dallas,TX,75214,Union,Employee dies from cardiovascular illness with heat illness,"At 3:35 p.m. on June 20, 2023, an employee working as a mail carrier for the post office was walking while delivering mail. A customer saw the employee bent over while on his route and called 911. The employee was transported to the hospital, where he died from hypertensive and atherosclerotic cardiovascular disease exacerbated by hyperthermia from the outdoor heat.",491110/Postal Service,66,M,Fatality,"Mail carriers, postal service","(32.82587436325504, -96.74974728439597)"
06/19/2023,CLOSED,1678247.015,Appalachian Power Company,626300,500 Interstate 20 East,Marshall,TX,75672,Union,Employee dies from heat illness during storm damage repairs,"At 8:30 p.m. on June 19, 2023, an employee working as an electrician for a power company was on a crew performing storm restoration activities to restore electrical power. The employee reported being hot and returned to the hotel with the rest of the crew at approximately 6:30 p.m. The employee died of suspected heat exhaustion.",221118,35,M,Fatality,Electricians,"(32.50723293225806, -94.32815081290323)"
06/13/2023,CLOSED,1677395.015,"Droptine Utility Construction, Llc",625400,2260 Weil Rd.,Marion,TX,78124,NonUnion,Employee dies of heat-related illness,"At 7:00 p.m. on June 13, 2023, an employee was spotting/hole attendant for a sandblasting process conducted inside a sewer drainage system. The employee was standing at the manhole monitoring the person inside the manhole sandblasting the walls of the sewage drainage system, when the Supervisor observed the employee's leg buckle.  He approached the employee and asked if he was ok; the employee stated that his leg was hurting.  The Supervisor sat him on the flatbed of the truck and told him to hold on while he got a replacement so he could sit inside the vehicle; the supervisor went about 100 yards to get the coworker to cover for the employee.  While walking back, the Supervisor noticed that the employee had laid back on the flatbed, so he started running towards the employee.  When the Supervisor got to him, the employee was not responsive; he sat him up and tried to wake him up.  At this time, the Supervisor started putting wet cooling rags on the employee's head and shoulders, and the Supervisor assisted the employee to get out of the manhole.  The employee was not waking up but was breathing.  The coworkers put the employee in the truck. The Supervisor decided to take the employee to the nearest emergency room, seeing that their work location would be difficult for Emergency Medical Services to find.  While driving off the work site, the Supervisor called the office and informed the General Manager (Rocky Davila) about the incident.  The Supervisor and three coworkers arrived at the emergency room about 5:30 p.m. and they took the employee back to evaluate him. The autopsy report stated that a heat-related injury was suspected.",237110/Water and Sewer Line and Related Structures Construction,50,M,Fatality,Construction laborers,"(29.554141319387757, -98.15252123061224)"
05/31/2023,CLOSED,1674039.015,Jose Luis Ruiz-Balvantin,625400,8907 Farm To Market 2244 Road,Austin,TX,78746,NonUnion,Employee dies of cardiovascular disease exacerbated by heat,"At 3:57 p.m. on May 31, 2023, an employee was working as a temporary construction laborer with Coworker #1, the client/owner at the site. Coworker #1 owned several rentals for both residential and business purposes. Coworker #1 and the employee were working outside doing various tasks preparing sites for additional contractors to arrive over the course of a week. The employee was working on a decorative stone and mortar wall around the bottom of a small cabin. Around 7:00 a.m., the employee arrived on site and began work. The employee and Coworker #1 were preparing an area for Coworker #2 (an electrical subcontractor) to arrive and hook up power to an air conditioner. The employee had to dig a shallow trench two to three inches deep and thirty to forty-five feet long to bury the electrical conduit. The coworker stated he left for an appointment and noted Coworker #2. Nearly thirty minutes later Coworker #2 stated the employee reported feeling ill and complained of a headache. The employee went inside the cabin with the air conditioner on to rest. Around 1:30 p.m., Coworker #2 went to another cabin and began working on the air conditioning ducts. Coworker #2 stated he heard a yell and went to the window to see the employee face down between two cabins. The second cabin was occupied by a tenant who called 911. Coworker #2 ran outside and began life-saving measures. Fire, EMS, and the police were dispatched to the location and took over life-saving measures but the employee could not be revived and had died on site. The Count Medical Examiner (ME) arrived at the location shortly after and transported the employee for additional examination. The ME reported atherosclerotic and hypertensive cardiovascular disease and environmental hyperthermia. Additional autopsy demonstrated an enlarged heart with thickening of the main pumping chambers likely secondary to chronic hypertension atherosclerotic stenosis of multiple major vessels supplying blood to the heart.",531390/Other Activities Related to Real Estate,53,M,Fatality,Construction Laborer,"(30.29877828172623, -97.80776510438301)"
05/12/2023,CLOSED,1672554.015,Alyssa Luden Barajas,950632,Desert Ranch Field 26 03 Corn 23,Brawley,CA,92227,NonUnion,Employee dies from heat stroke while harvesting corn,"At 9:00 a.m. on May 12, 2023, an employee working for a farming labor contractor had been harvesting corn by hand (no hand tools required) in an agricultural field. The activities were taking place between 2:00 a.m. and 10:00 a.m. The employee was working on a crew of approximately 20 laborers. At approximately 4:15 a.m. a coworker (foreman) observed the employee falling behind on the harvest. The employee indicated he was experiencing stomach pain and was incoherent. The employee was taken out of the field at which point he went into a convulsion. Emergency Medical Services were called and he was transported to the local hospital. The employee was later transported to and treated at a medical center. The employee died from heat stroke, organ failure and underlying medical issues.",111150/Corn Farming,25,M,Fatality,"Laborers, except construction","(32.98114708247422, -115.53076364742267)"
01/01/2023,CLOSED,1641551.015,Rafael Barajas,418800,12210 Loxahatchee Road,Parkland,FL,33076,NonUnion,Employee is killed due to heat illness while farming,"At 3:15 p.m. on January 1, 2023, an employee, a migrant farm worker, was placing wooden stakes in the ground to support bell pepper plants at a farm. The employee was on his first day on the job and he was struggling to keep pace with more experienced farmworkers. The employee complained of fatigue and leg pain as the area's heat index neared 90 degrees. Sometime later, coworkers found the employee unresponsive in a shallow drainage ditch. The employee died due to symptoms related to heat illness.",115115/Farm Labor Contractors and Crew Leaders,28,M,Fatality,,"(26.325050754404856, -80.27612081552297)"
09/08/2022,OPEN,1621493.015,"Ayres Landscape Services, Inc.",950633,11625 Nino Way,Mira Loma,CA,91752,NonUnion,Employee Dies From Heat Stroke After Landscaping,"At 1:30 p.m. on September 8, 2022, an employee was performing roadside landscaping maintenance with two coworkers. The employee became sick near the end of the work shift with dizziness, vomiting and disorientation. The employee was transported to the hospital by emergency medical personnel. The employee died from heat stroke. Ambient temperatures exceeded 95 degrees during the workday.",561730/Landscaping Services,54,M,Fatality,"Laborers, except construction","(33.97204207130919, -117.55453327576602)"
09/07/2022,CLOSED,1621615.015,Santa Clara County Office Of Emergency Management,950612,80 Highland Ave,San Martin,CA,95046,Union,Employee suffers heat illness,"At 3:00 p.m. on September 7, 2022, an employee was working in a tent registering walk-in appointments for a COVID-19 testing site when she began to feet faint and dizzy. The site lead arrived to assist the employee and took her to the vaccination center to cool off and get evaluated by the clinical lead. The employee advised the leads that she did not need medical help. There was a heat wave with 102 degree temperatures on the day of  incident.",923120/Administration of Public Health Programs,22,F,Non Hospitalized injury,Occupation Not Listed,"(37.085857721875, -121.605701128125)"
08/29/2022,CLOSED,1620431.015,Placer County Sheriffs Office,950621,2329 Richardson Dr,Auburn,CA,95603,NonUnion,Employee dies due to heat stroke,"At 4:15 p.m. on August 29, 2022, an employee was performing a physical training run.  The employee became unsteady on his feet and disoriented.  The employee died due to heat stroke.",922120/Police Protection,25,M,Hospitalized injury,,"(38.919689801265825, -121.07731220253164)"
08/22/2022,CLOSED,1621154.015,"Alliance Ground International, Llc",418200,6000 N Terminal Pkwy Ste 1801,Atlanta,GA,30320,NonUnion,Employee Is Killed By Possible Heart Attack or Heat Exhausti,"At 3:30 p.m. on August 22, 2022, an employee was talking with another employee while working outside performing support activities for air transportation. The employee fell backward and struck his head against the concrete ground. The employee was killed due to possible heart attack or heat exhaustion.",488190/Other Support Activities for Air Transportation,54,M,Fatality,,"(33.64838841025641, -84.4284781)"
08/19/2022,OPEN,1616481.015,M.C.M. Construction Inc.,950623,Bridge On Hwy 70 Over Honcut Creek,Oroville,CA,95965,NonUnion,Employee dies from heat stroke after working in hot environm,"At 3:00 p.m. on August 19, 2022, an employee was cleaning debris from formwork to prepare for concrete pour of beams for bridge construction when his shift ended and he was feeling lightheaded and distraught. Emergency services transported the employee to the hospital, where he died due to heat stroke.","237310/ Highway, Street, and Bridge Construction",51,M,Fatality,Construction laborers,"(39.51324399722222, -121.56866928055555)"
08/08/2022,CLOSED,1614019.015,"Entrenos, Inc",625400,2602 Dena Drive,San Angelo,TX,76903,NonUnion,Employee suffers heat stroke and dies while digging trench,"At 4:00 p.m. on August 8, 2022, an employee was installing sprinkler heads and covering up the trench from the installation process that was performed the same day. The employee spent most his shift digging narrow trenches with a pickaxe and laying the irrigation pipe. The employee lost consciousness and collapsed while working. It was determined that the employee had suffered a heat stroke and died.",561730/Landscaping Services,31,M,Fatality,,"(31.470277462485747, -100.43600644310148)"
07/29/2022,CLOSED,1611357.015,"Mainscape, Inc.",420300,4513 Shunan Dr Midway Park Housing Area,Midway Park,NC,28544,NonUnion,Employee dies of heat stroke,"During the morning of July 29, 2022, a newly hired, unacclimated employee was performing landscaping activities, including mowing, string trimming, and operating a gas-blower in a residential area, during which time wet bulb globe temperatures ranged up to 88.4 degrees Fahrenheit with a heat index of up to 103.3 degrees Fahrenheit. The employee took multiple cooling-down breaks with water in the shade and in an air-conditioned vehicle between tasks. Around 11:00 a.m., the employee, who was exposed to the heat-related hazard, stumbled and could not stand up. A coworker called emergency services, and the employee was immediately transported to a nearby hospital, where he received medical treatment. The employee was pronounced dead about an hour and a half later with a body core temperature of 110.7 degrees Fahrenheit. The employee suffered heat stroke. The sun and atmospheric conditions, including heat, created the hazard that directly harmed the employee.",541320/Landscape Architectural Services,18,M,Fatality,Miscellaneous hand working occupations,"(34.72575732235294, -77.32248361294118)"
07/25/2022,CLOSED,1611021.015,"Michael Hatcher & Associates, Inc.",419400,6750 Legacy Dr,Olive Branch,MS,38654,NonUnion,Employee experiences heat stroke and drowns,"At 2:00 p.m. on July 25, 2022, an employee was blowing off the parking lot. The employee experienced heat stroke and went to cool off in a pond and drowned.",561730/Landscaping Services,28,M,Fatality,"Laborers, except construction","(34.95473495309734, -89.82625214788594)"
